Accident Number,Event Date,Investigation Type,Location,Country,Latitude,Longitude,Airport Code,Airport Name,Injury Severity,Fatal,Aircraft Damage,Registration Number,Make,Model,Amateur Built,Number of Engines,Engine Type,Purpose of Flight,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad Phase of Flight,Final Narrative,Narrative Cause
ANC01LA037,02/16/2001,Accident,"Fairbanks, AK",United States,64.66° N,148.32° W,,,Non-Fatal,Non-Fatal,Substantial,N36266,Bellanca,7GCBC,No,1,Reciprocating,Instructional,,,,2,VMC,LANDING,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The commercial certificated pilot/flight instructor, and the student pilot, were conducting touch and go landings in a ski-equipped airplane during the student's first flight. The flight instructor demonstrated a variety of aerial maneuvers, and then landed on a frozen lake.  The lake was covered with about two feet of snow.  The instructor performed two additional takeoff and landings and then stopped.  He placed the student pilot in the front seat and got into the rear seat.  The instructor had the student taxi the airplane and then perform several takeoff and landings.  The flight instructor then took over the flight controls and landed at a different lake, establishing a new set of ski landing tracks in the snow.  The student pilot then performed two additional takeoff and landings.  On the third landing approach to the new location, the airplane was established on a normal glide path.  About 2 to 4 feet above the ground, the student suddenly pushed forward on the control stick and applied almost full right rudder.  The instructor was unable to prevent the airplane from colliding with the snow in a nose down attitude.  The airplane nosed over and received damage to the wings, wing spars, lift struts, and vertical stabilizer.",The flight instructor's inadequate supervision of the flight during the landing flare.  A factor in the accident was the student's abrupt airplane control.
DEN01FA053,02/16/2001,Accident,"GRAND JUNCTION, CO",United States,,,,,Fatal(1),Fatal,Destroyed,N39HR,Ross,G-202,Yes,1,Reciprocating,Personal,1,,,,VMC,MANEUVERING,"NTSB investigators either traveled in support of this investigation or conducted a significant amount of investigative work without any travel, and used data obtained from various sources to prepare this aircraft accident report.

The pilot departed the local airport in the experimental, homebuilt airplane for a practice aerobatic flight.  When the pilot failed to arrive home, the flight was reported overdue by the pilot's family.  The airplane was found the following day near the edge of a ravine on a hilly open area about 6 miles north of the airport.  Examination of the wreckage indicated the airplane impacted the ground in a level attitude with minimal forward speed.  During the examination of the airframe and engine, no anomalies were noted that would have precluded normal operation of the airplane.  According to the pilot's logbook, he had logged 2.6 flight hours performing aerobatic maneuvers.",the pilot's inadvertent entry into a spin while performing aerobatic maneuvers.  A contributing factor was the pilot's lack of aerobatic experience.
FTW01LA068,02/17/2001,Accident,"Haslet, TX",United States,,,AFW,FORT WORTH ALLIANCE,Non-Fatal,Non-Fatal,Substantial,N8355L,Piper,PA32-R-301T,No,1,Reciprocating,Personal,,1,3,,VMC,DESCENT,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The airplane was approximately 40 minutes into the flight and 4 miles south of the destination airport in a normal descent when the propeller increased to maximum RPM.  Shortly thereafter, the oil pressure light illuminated, and the pilot noticed the oil pressure gauge was indicating zero.  Subsequently, the engine lost power, and the pilot elected to land in a field approximately 2 miles south of the runway threshold.  The airplane touched down on soft ground, separating its landing gear.  A post-accident examination of the engine revealed that there was no oil remaining in the engine, the oil filter internal element was collapsed inward, the oil filter converter plate gasket was found separated from the plate and broken in half, and the oil filter bypass valve was found installed improperly.  The collapsed oil filter element and blown converter plate gasket are indicative of a cold weather and/or a high RPM start.  With cold oil, the oil pressure became excessive due to the faulty bypass valve resulting in collapse of the filter and failure of the oil filter converter plate gasket.","the improper installation of the oil filter bypass valve by an unknown person, which resulted in the loss of engine oil and subsequent loss of total power during a normal descent.  A contributing factor to the accident was the lack of suitable terrain for the forced landing."
MIA01LA081,02/17/2001,Accident,"Weaver, AL",United States,33.76° N,85.81° W,,,Non-Fatal,Non-Fatal,Substantial,N8556S,Cessna,182H,No,1,Reciprocating,Personal,,,,2,VMC,CRUISE,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The pilot stated that while in cruise flight, the engine began to ""pop"" and lose power. He was unable to maintain altitude and made a forced landing in a field. During the landing roll, the airplane collided with a ditch and the nose landing gear separated. Postcrash examination of the engine showed the No. 4 cylinder intake push rod housing was dented inward and the push rod had rubbed on the housing and failed. It was not determined when the dent was made in the push rod tube.","Damage to the No. 4 cylinder intake valve push rod tube at an undetermined time which resulted in the push rod rubbing on the push rod tube and failing due to wear, resulting in loss of engine power and damage to the airplane during a forced landing in a field."
CHI01LA095,02/18/2001,Accident,"OVERTON, NE",United States,,,,,Non-Fatal,Non-Fatal,Substantial,N5886Z,Piper,PA-22-108,No,1,Reciprocating,Personal,,,,1,VMC,CRUISE,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The pilot said that just south of Overton, Nebraska, the airplane's engine started running rough.  The pilot said he elected to land on a corn stubble field.  ""I touched down normally and on roll out the aircraft contacted a snow drift and went over on its back.""  An examination of the airplane's engine revealed that the number 4 cylinder exhaust valve guide was sticking and the exhaust valve was not seating properly.",The open exhaust valve.  Factors relating to the accident were the sticking exhaust valve guide and the snow drift the airplane encountered during the precautionary landing.
CHI01LA143,02/18/2001,Accident,"Detroit Lakes, MN",United States,,,,,Non-Fatal,Non-Fatal,Substantial,N9714W,Piper,PA-28-140,No,1,Reciprocating,Personal,,,,3,VMC,MANEUVERING,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

While flying low over a lake the aircraft collided with power transmission wires.  The pilot stated, "" Flew down low on this lake on the edge of Frazee (about tree top high).  Started pulling up and there were power lines across the lake.  Pointed nose down to clear but the prop cut the bottom wire and the tail took the top one.""  The pilot reported, ""Damaged the leading edges on both wings and the vertical stab on the tail.""",Altitude/clearance not maintained from the transmission wires during a low altitude flight/maneuver performed by the pilot.  A factor to the accident was the transmission wires.
DEN01FA064,02/18/2001,Accident,"Wendover, UT",United States,41.15° N,114.03° W,,,Fatal(3),Fatal,Destroyed,N5757K,Beech,V35,No,1,Reciprocating,Personal,3,,,,IMC,MANEUVERING,"NTSB investigators either traveled in support of this investigation or conducted a significant amount of investigative work without any travel, and used data obtained from various sources to prepare this aircraft accident report.

A witness, who watched the non-instrument rated private pilot make the night takeoff, said there was a light rain falling and the skies were overcast. Radar data disclosed a primary target just east of Wendover on a southwesterly track. It made a turn and flew north, passing Wendover. It flew towards the northeast, then turned northwest and held this course, then made a 270 degree turn to the left, followed by another left turn of at least 270 degrees.  It then continued on an easterly course until radar contact was lost. No mode C (altitude reporting) returns were recorded. The accident site was in mountainous terrain at the 6,944-foot level near the point where radar contact was lost. Examination of the wreckage indicated the airplane impacted terrain in a steep nose down attitude.","The pilot flying at an altitude insufficient to clear surrounding terrain. Contributing factors were the pilot becoming lost/disoriented, his subsequent spatial disorientation, and dark night conditions."
DEN01LA054,02/18/2001,Accident,"Angel Fire, NM",United States,,,AXX,Angel Fire,Non-Fatal,Non-Fatal,Substantial,N3051U,Piper,PA-32-300,No,1,Reciprocating,Personal,,,,2,VMC,LANDING,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

As the airplane approached runway 35, the pilot applied ""full cross control"" for the crosswind that the airport reported to be from 260 degrees at 20 knots and gusting. Wind gusts were reportedly between 24 and 30 knots. When the airplane touched down 4,500 feet past the threshold, ""a strong gust of wind"" pushed the airplane to the right side of the runway and the pilot aborted the landing. During the abort, the nose landing gear was damaged when it struck a 24-inch high snow bank at the 5,900-foot mark. Witnesses said the airplane nearly ""cartwheeled."" The pilot turned the airplane around and landed on runway 17. The airplane touched down at the 6,150-foot mark and skidded on its nose to a halt at the 7,100-foot mark (8,900 foot runway). The airplane's demonstrated crosswind component is 17 knots. The computed crosswind component was 90 degrees at 20 knots, 24 knots, or 30 knots, depending on the reported wind velocity used.","the pilot's failure to maintain control of the airplane during landing. Contributing factors were the crosswind, the pilot exceeding the published maximum demonstrated crosswind component, and  the snow bank."
MIA01LA082,02/18/2001,Accident,"Tybee Island, GA",United States,31.62° N,80.91° W,,,Fatal(4),Fatal,Destroyed,N7703R,Beech,36,No,1,Reciprocating,Personal,4,,,,VMC,CRUISE,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

While in cruise flight at 5,500 feet,, over the ocean, on a dark night, about 10 miles from shore, the airplane entered a descending right turn and was lost from radar at 4,300 feet. No communications reporting any problems with the flight were received by air traffic controllers. Seat cushions, an interior panel, and the nose landing gear lower strut, wheel, and tire, along with some remains of the occupants were located floating on the ocean. The main wreckage of the airplane and the occupants were not located.",The flights entry into a descending right turn for undetermined reasons resulting in the flight crashing into the ocean.
CHI01FA113,02/19/2001,Accident,"Norris, SD",United States,43.40° N,101.18° W,,,Fatal(3),Fatal,Destroyed,N9927S,Beech,95-B55,No,2,Reciprocating,Personal,3,,,,VMC,CRUISE,"NTSB investigators either traveled in support of this investigation or conducted a significant amount of investigative work without any travel, and used data obtained from various sources to prepare this aircraft accident report.

The airplane was destroyed when it impacted rolling terrain.  All of the airplane's occupants were fatally injured.  The pilot was not instrument rated.  Radar data for the last few minutes of the flight shows the airplane descending from a pressure altitude of 7,900 feet to 7,500 feet.  The last radar return shows the airplane 289 degrees true and 2.27 nautical from the accident site at an altitude of 7,700 feet.  Weather data obtained for the accident time indicates that the possibility of isolated instrument meteorological conditions existed along the airplane's route of flight.  The airplane's route of flight coincided with an intensifying cold front in the area of the accident.  The examination of the airplane, engines and related systems did not reveal any anomalies that could be associated with a pre-impact condition.",The pilot encountering instrument meteorological conditions and his subsequent loss of control of the airplane.
CHI01IA124,02/19/2001,Incident,"Milwaukee, WI",United States,,,MKE,GENERAL MITCHELL INTERNATIONAL,Incident,Non-Fatal,,N2410W,Boeing,717-231,No,2,Turbo Fan,,,,,67,VMC,TAKEOFF,"NTSB investigators used data provided by various sources and may have traveled in support of this investigation to prepare this aircraft incident report.

A Boeing 717 sustained an in-flight thrust reverser deployment following a takeoff.  The flight returned without further incident.  After the prior flight the reverser was unlocked but not deployed.  The flightcrew found the reverser unlock light during preflight.  The crew could not clear the indication and contract maintenance was contacted to lock out the reverser.  The contractor was not familiar and asked for the procedure to be faxed to him.  The contractor used an incomplete set of procedures to lock out the reverser.  Post incident inspection revealed the thrust reverser doors had over deployed.  Four locking pins and their fork shaped locking triggers showed nicks and gouges on their mating surfaces.  Subsequently Boeing revised their dispatch guide to include that maintenance would have to verify that ""no more than one Thrust Reverser Proximity Sensor indicates Open"" and that operators verify that the thrust reverser unlock indication is not present and red lockout pins are present on the inoperative reverser.  Subsequent to the incident the overcenter links were redesigned.  Boeing and the thrust reverser manufacturer issued service bulletins (SB) to retrofit the existing engines with the new link's design change, the link's associated hardware, and rub plates.  Airplanes in production will incorporate the SB items as a production change. Boeing's SB 717-78-004 stated, ""Operators have reported five instances of thrust reversers failing to deploy and ten instances of side beam gouging.  Inspections revealed that gouging had occurred between the over center link bolts and side beam assembly.  One recent event resulted in a relatively new thrust reverser having side beam gouging so deep, it required a doubler to restore airworthiness.  Rohr Incorporated Service Bulletin R715.78-008 provides instructions to modify the thrust reverser actuation system.  The purpose of modifying the thrust reverser actuation system is to minimize the possibility of gouging and inadvertent in-flight thrust reverser deployment procedures given in this service bulletin.""","The failure of the operator to provide complete and comprehensive thrust reverser lock-out maintenance procedures and guidance to the contract maintenance personnel resulting in a partial and inadequate securing of the faulty thrust reverser and a subsequent inadvertent deployment following takeoff. Contributing to the incident is the failure of the contract maintenance personnel to verify that the maintenance instructions received where complete, accurate, and up to date."
NYC01LA086,02/19/2001,Accident,"Keene, NH",United States,42.88° N,72.27° W,EEN,Dillant-Hopkins,Non-Fatal,Non-Fatal,Substantial,N910SM,Robinson,R-22B,No,1,Reciprocating,Instructional,,,1,1,VMC,TAKEOFF,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The student pilot was practicing hovering autorotations with a flight instructor onboard.  They were performing the practice in an open field next to a runway.  At the rear of the field behind the helicopter was a snowbank with an irregular line.  There was a wind of about 10 knots on the nose of the helicopter.  During each hovering autorotation, the helicopter ended up further aft than the preceding one.  The flight instructor looked out of his left door and based upon the part of the snowbank that he could see, he  thought he had about 50-75 feet to the snow bank.  However, he was unaware that the left rear skid was already under the crust of the snowbank directly behind the helicopter.  He took control of the helicopter with the intent of repositioning it  to the middle of the field.  When the flight instructor applied the collective to lift off, the helicopter pivoted on the left rear skid, and rolled over on its left side.  The flight instructor reported the accident could have been prevented had he maintained better situational awareness of the snowbank in the field where they were practicing, and if he had used a two stage pickup, where he first made the helicopter light on the skids, and then applied the collective to lift off more slowly.","inadequate visual lookout by the flight instructor on the helicopter's proximity to the snowbank, and subsequent lift off, which resulted in a dynamic rollover."
SEA01LA051,02/19/2001,Accident,"Chehalis, WA",United States,,,CLS,Chehalis-Centralia,Non-Fatal,Non-Fatal,Substantial,N392JL,Landry,Gyrobee,Yes,1,Reciprocating,Personal,,,,1,VMC,TAKEOFF,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The pilot reported that about half way down the runway, he increased power to initiate a ""crow-hop"" maneuver.  As the gyroplane started to become airborne it also began a right drift, which the pilot believed was from a left crosswind with slightly gusty wind conditions.  The pilot reported that he ""...adjusted the cyclic control to arrest the right drift..,"" that ""...as the aircraft left the surface of the runway and became airborne, it immediately banked and drifted to the right...,"" and ""...in attempting to adjust the cyclic control to level the aircraft, I either failed to move the control adequately, or I mistakenly moved it in the wrong direction....""  The pilot reported a total of 918 hours of flight experience (all in rotorcraft) and 15 hours in the accident make.  He also reported that ""...the accident aircraft was fitted with an overhead cyclic control stick connected directly to the rotor head assembly..."" and that ""...this type of direct cyclic control can be described as having ""reverse"" control movements when compared to conventional cyclic control systems..."" (e.g., to move the gyroplane right the pilot applies left cyclic).  The majority of the pilot's flight experience was in ""conventionally"" controlled rotorcraft and he believed that he ""...may have reverted back to [the] deeply imbedded control reflexes and moved the cyclic control in the wrong direction....""","The pilot-in-command's reverse application of cyclic to counteract a right drift during the takeoff roll in a gyroplane whose controls had been designed reverse of standard.  Contributing factors were the gusty wind conditions and the pilot's ""expectancy"" or reversion to habit patterns based on non-reversed controls from the majority of his flight experience."
LAX01FA103,02/20/2001,Accident,"Paso Robles, CA",United States,35.47° N,120.85° W,Q89,Mac Gillivray (pvt),Fatal(1),Fatal,Destroyed,N9176Z,Piper,PA-46-350P,No,1,Reciprocating,Personal,1,,,,VMC,TAKEOFF,"NTSB investigators either traveled in support of this investigation or conducted a significant amount of investigative work without any travel, and used data obtained from various sources to prepare this aircraft accident report.

The accident occurred during a dark night departure from a private unlighted airstrip.  The pilot had landed, assisted by the headlights of a car, on the landing strip/road about 1830.  After dropping off a passenger, he departed about 1900.  The departure direction was towards a sparsely populated area of rolling hills.  Local area residents reported hearing a plane depart, followed by a loss of engine sound, and an impact in a grape vineyard.  Examination of the wreckage revealed that the airplane impacted the ground in a nose down attitude.  According to maintenance records, the last recorded annual inspection occurred 12 months and about 299.5 flight hours prior to the accident.  Approximately 5 months before the accident, the FAA Certified Repair Station (CRS) that performed the maintenance on the airplane had given the pilot/owner a 15-item list of ""grounding discrepancies.""  The discrepancies were: Cracked nose cowling; fraying seat belts; LH mag switch broken; LH window cracked; LH windshield crazed; stall warning inoperative; turbine inlet temperature inoperative; door latch safety inoperative; several hydraulic components leaking; main gear trunion pins worn; several cracks in wing lower skins; fuel leaks; loose rivets on RH flap; wing spar bolts loose; and elevator trim cable frayed.  According to the CRS manager, the only item that had been repaired prior to the accident was the cracked nose cowling.  However, an engine log entry indicated the TIT gage had also been replaced.  Additionally, several witnesses reported that the pilot had been flying the airplane with an inoperative landing gear retract system for about 4 months.  During post accident examination of the wreckage,  investigators were able to verify that many of the listed discrepancies still existed; however, none of these discrepancies could be directly linked to the accident.",The pilot/owner/operator's failure to maintain control of the airplane during the takeoff initial climb resulting in an in-flight collision with terrain.  Contributing to the accident was the dark night light condition.
SEA01LA052,02/20/2001,Accident,"BILLINGS, MT",United States,,,BIL,Billings Logan International,Non-Fatal,Non-Fatal,Substantial,N69316,Cessna,402B,No,2,Reciprocating,Instructional,,,,2,VMC,GO-AROUND,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

During a simulated single-engine out go-around, the pilot reported that he applied full power to the left engine (right engine had been set at zero thrust) and maintained ""blue line"" (118 MPH- IAS).  The descent rate was arrested and the flaps then the landing gear were retracted.  The pilot reported that at this point he was flying by visual cues and noted that the aircraft altitude was descending below the minimum descent altitude, and the aircraft felt ""mushy.""  The pilot crossed checked the flight instruments and noted that the aircraft was not climbing and continuing to descend.  The pilot stated that, he lowered the nose giving up altitude for airspeed, but realized that the airspeed was at the minimum controllable airspeed or a little above.  The pilot immediately applied full power to the right engine, however the aircraft continued to settle and contacted the runway in a wings level and slightly nose high attitude.  The check pilot onboard reported that full power was on the left engine, and nearly or full power was on the right engine at the time of impact.  Both pilots felt that the main landing gear was retracted, however the nose gear might not have been fully retracted.",Best rate-of-climb single-engine speed was not maintained.  Delayed remedial action was a factor.
CHI01FA093,02/21/2001,Accident,"Centralia, IL",United States,,,ENL,Centralia Municipal Airport,Fatal(2),Fatal,Destroyed,N733SS,Cessna,172H,No,1,Reciprocating,Instructional,2,,,,VMC,APPROACH,"NTSB investigators either traveled in support of this investigation or conducted a significant amount of investigative work without any travel, and used data obtained from various sources to prepare this aircraft accident report.

The airplane  was destroyed when it impacted terrain 1.2 miles from the airport on a magnetic bearing of 003 degrees from the approach end of runway 18.  The CFI weighed approximately 149 pounds and the student pilot weighed approximately 310 pounds.  A witness reported seeing the airplane traveling toward him from west to east.  He reported hearing the airplane's engine initially, and that the engine was at a low power setting.  He reported the airplane was low, about 500 feet, and the airspeed was slow.  The airplane was in a steep angle of bank and in a turn to the right.  He reported the airplane was in ""...a kind of a climb in a bank.""  After 270 degrees of turn, the airplane flipped over on its back and became inverted.  The nose of the airplane then went down.  He reported the nose of the airplane started coming up and the airplane looked like it was going to recover when he lost sight of the airplane behind a tree line.  He reported hearing the airplane's engine revving to full power before hearing it impact the terrain.  An examination of the airplane's system revealed no anomalies.","The student pilot allowed the airspeed to get too low and inadvertently stalled the airplane, and the CFI delayed in taking remedial action."
LAX01TA092,02/21/2001,Accident,"San Diego, CA",United States,32.57° N,116.98° W,SDM,BROWN FIELD MUNI,Non-Fatal,Non-Fatal,Substantial,N606BP,McDonnell Douglas,600N,No,1,Turbo Shaft,Instructional,,,,2,VMC,LANDING,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this public aircraft accident report.

During the landing slide, the main rotor blew back, contacted the tail boom, and severed it.  The flight purpose was refresher training and the specific maneuver at the time of the accident was training in the procedure for a stuck (fixed) right pedal.  According to the flight crew, there were no mechanical discrepancies with the helicopter.  A run-on landing with the fixed right pedal was made to the 260-degree taxiway.  The wind reported at the airport about 14 minutes after the accident was 330 degrees at 6 knots.  The pilots reported that the wind was 310 degrees at 6 to 8 knots with gusts to 12 knots.  According to information provided by the flight crew, the training pilot accomplished the maneuver: aligned with the runway heading with an airspeed between 55-65 knots; the instructor pilot (IP) held right pedal to induce a 10-degree right yaw; touchdown was estimated to occur about 30-40 knots; the low rotor rpm horn was ""on"" at or near touchdown, but the rotor speed was not noted; the collective was positioned at some point above half travel; cyclic was slightly forward of neutral; shortly after touchdown both pilots felt the main rotor strike the tail boom; directional control was lost and the helicopter rotated about 220 degrees nose right before coming to rest, upright.  The manufacturer indicated that main rotor/tail boom contact from blowback of the main rotor may result from forward velocity and low/decaying main rotor rpm (advance ratio) due to a high collective position during the ground run-out phase following the 30-knot plus touchdown.  The blowback condition is exacerbated by the high angle pitch setting which causes blade stall over a large portion of the rotor disk.  A blowback condition is present in all helicopters.  It may be more pronounced in the MD600N (versus the 500N) due to greater helicopter gross weight, reduced flare/deceleration capabilities because of tail boom length and installation angle, and the increased surface of the additional main rotor blade resulting in a more rapid decay of main rotor rpm.  A caution in the helicopter's Rotorcraft Flight Manual specifies for practice autorotation landings to avoid conditions of ROTOR RPM (Nr) less than 60 percent with headwinds across the rotor greater than 30 knots during touchdown autorotations.  These conditions during touchdown and subsequent ground slide, can lead to excessive rotor blowback, reduction in blade tip to tail boom clearance, and subsequent damage to the aircraft.  Avoid these conditions by reducing collective pitch after touchdown (surface conditions permitting) and minimizing ground run.","The student pilot's improper use of the rotorcraft flight controls, and the instructor pilot's inadequate supervision of the maneuver."
LAX01LA104,02/23/2001,Accident,"Chino Valley, AZ",United States,,,,,Non-Fatal,Non-Fatal,Substantial,N1173,"Schneider, Edmund, Pty.",Starduster SA300,Yes,1,Reciprocating,Personal,,,,1,VMC,TAKEOFF,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

During takeoff from a road, a vehicle, which had been cleared from the road, reentered the road and the pilot veered right to avoid it, striking a bush on the side of the road and nosing over.  On the previous day, the pilot had landed on the road due to a broken throttle linkage.  On the morning of the accident, the pilot, airplane owner, and a mechanic returned to repair the linkage.  When the repairs were completed, the owner and mechanic cleared the road for takeoff.  The investigator's record of telephone conversation with the pilot indicated that just prior to becoming airborne, a car used to clear the road was driven onto the road; the pilot executed the takeoff but had insufficient clearance from the car, veered right, contacted bushes, and the airplane nosed over.  In his report of the accident, the pilot stated that the car did not enter the road until the airplane was aligned for takeoff.  Since the airplane was tailwheel equipped, he was unable to see the car until during the takeoff roll, when the tail was lifted.  During the takeoff roll the engine power diminished.  To avoid colliding with the car, the pilot said, he attempted to abort the takeoff and veered off the road.  The main wheels entered a depression and the airplane nosed over, just past the car.",The pilot's inadequate preflight planning and his failure to dissiminate/coordinate the total distance required to successfully operate the airplane.
MIA01LA084,02/23/2001,Accident,"Inverness, MS",United States,,,IDL,Indianola,Fatal(1),Fatal,,N58377,Boeing Helicopters Div.,369D,No,1,Turbo Shaft,Other Work Use,1,,,1,VMC,MANEUVERING,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The helicopter is configured with an external horizontal platform mounted adjacent to the left loading door, between the fuselage and the skids, for use during in-flight transfer of a lineman from aircraft to structure during inspections of high tension transmission line supports. The exact procedures for the in-flight lineman transfer call for the helicopter-to-structure static electricity grounding cable to be clamped to the structure prior to the actual transfer. By design, the ground cable clamping is the very first procedural task and the unclamping is the very last procedural task. When the pilot sees the cable and clamp returned to its holding pouch on the platform, that is his cue to back the helicopter away from the structure. In this particular occurrence, the procedural tasks got out of sequence, and when the pilot saw the ground cable and clamp in its pouch, he backed the rotorcraft away. The lineman, still tethered to the rotorcraft, was pulled off the structure, and the lineman's choice of safety tether attachment point on the rotorcraft gave way under his weight, causing the fatal fall.","The lineman's failure to use the designed attachment point  for securing his safety harness to the helicopter, resulting in overload and failure of the component he did attach to.  A factor in the accident was the lineman's failure to follow exact sequential procedures for performing the in-flight transfer from rotorcraft to structure, resulting in his being dragged off the structure by the retreating rotorcraft."
ANC01LA038,02/24/2001,Accident,"Whittier, AK",United States,60.78° N,148.72° W,PAWR,WHITTIER,Non-Fatal,Non-Fatal,Substantial,N3032G,Forney,F-1A,No,1,Reciprocating,Personal,,,,2,VMC,LANDING,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The commercial certificated pilot landed a wheel airplane on a runway covered with several feet of snow.  The airplane nosed down, and received damage to the left wing, the left aileron, the nose wheel strut assembly, and the firewall.  The runway had accumulated between 4 and 5 feet of snow, and it had not been plowed.  According to the Airport Facility Directory/Alaska Supplement, the description of the airport contains a caution, that states:  ""Runway condition not monitored, recommend visual inspection prior to landing.  No winter maintenance.  Closed from first snowfall until after breakup.""  The airplane was found the following day of the accident, unoccupied, by a local police officer.  The police officer located persons at a local hotel who were pointed out by other patrons as being the pilot and passenger of the accident airplane.  When the pilot was asked about the circumstances of the accident, the pilot refused all information, including his identity, and that of the passenger.  The pilot referred all questions to his attorney.  After contacting the pilot's attorney, no additional information was provided to the police.","The pilot's inadequate preflight planning/preparation, and his selection of unsuitable terrain for landing.  A factor in the accident was snow-covered terrain."
MIA01LA085,02/24/2001,Accident,"Whitesburg, GA",United States,,,,,Non-Fatal,Non-Fatal,Substantial,N5307V,Hiller,UH-12B,No,1,Reciprocating,Personal,,,,3,VMC,DESCENT,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The purpose of the flight was to photograph the parent's house of the adult passenger; the flight was returning when the accident occurred.  While descending for approach to a ball field about 250 to 300 feet above ground level (agl) at an indicated airspeed between 60-65 knots, the helicopter yawed.  He corrected the yaw with anti-torque pedal and noted that the engine rpm and main rotor rpm needles were ""split""; the main rotor rpm was in the green arc and the engine rpm was indicating zero.  He rolled the throttle to the right towards the fuel-on position, then lowered full collective and maintained 40-45 knots while descending for an autorotative landing to the down sloping road.  He cleared a bridge ahead and at approximately 15 feet agl, he applied aft cyclic to decelerate ""somewhat"", and pulled full collective.  He touched down at an indicated airspeed between 20 and 30 knots on the road that curved to the left and later reported, ""we didn't hit real easy.""  He lowered full collective after touchdown and while sliding, the right skid contacted grass on the side of the road causing the right skid to collapse.  The helicopter then rolled onto its right side and slid approximately 4-5 feet before coming to rest.  There was no postcrash fire or fuel leakage.  Examination of the helicopter by an FAA Airworthiness Inspector revealed 8-9 gallons of fuel on board; the carburetor bowl was found approximately 1/2 full with a slight amount of contamination.  The engine driven fuel pump would not produce 2 psi flow and would not produce any flow with a minor restriction.  Additionally, the auxiliary fuel pump strainer was ""so clogged and corroded it had to be removed with a metal hook and screw driver.""  The helicopter was inspected last in accordance with a 100-Hour inspection that was signed off on January 5, 2001; the helicopter had accumulated approximately 24 hours since the inspection at the time of the accident.  Review of the helicopter flight manual pertaining to engine failure when flying above 325 feet agl revealed to maintain 50-60 mph glide speed and to pull cyclic stick steadily back at approximately 75 feet agl.  Additionally, ""when 10-15 feet above the landing surface, level the helicopter with forward cyclic stick and then apply collective pitch, as necessary, to cushion the landing impact.""  The flight manual also states, ""To reduce the rate of descent and forward speed during an autorotation landing, the helicopter's flight path should be flared or leveled out, prior to ground contact.""  Excerpts from the flight manual is an attachment to this report.",The improper emergency procedure performed by the pilot due to his electing to perform a run-on landing resulting in excessive airspeed at touchdown and subsequent roll-over following ground contact with grass.  A contributing factor was the inadequate 100-Hour inspection performed last to the helicopter resulting in the total loss of engine power due to fuel starvation.
SEA01LA056,02/24/2001,Accident,"North Bend, OR",United States,,,OTH,NORTH BEND MUNI,Non-Fatal,Non-Fatal,Substantial,N8133C,Piper,PA-28-181,No,1,Reciprocating,Personal,,,,1,VMC,TAXI,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The private pilot was taxiing the airplane between two ground vehicles located near the airport terminal.  He stated that he momentarily became distracted and inadvertently ran the airplane into an unoccupied ground delivery vehicle.  The airplane's right wing sustained substantial damage.",The pilot's failure to maintain clearance from the delivery truck while taxing.  The pilot being distracted is a factor.
FTW01LA070,02/25/2001,Accident,"Lafayette, LA",United States,,,NONE,Private Strip,Non-Fatal,Non-Fatal,Substantial,N777SB,Bartels,Rans S-7,Yes,1,Reciprocating,Personal,,,,1,VMC,LANDING,"NTSB investigators may have traveled in support of this investigation and used data provided by various sources to prepare this aircraft accident report.

The pilot reported that he was practicing soft and short field landings at the private grass airstrip.  He completed 15 landings to runway 09 and configured the airplane for a simulated engine failure and a short field landing.  He stated that during the landing flare, the airplane ""hit hard,"" and the right main landing gear failed.  Subsequently, the airplane traveled 36 feet and came to rest inverted.",the pilot's improper flare which resulted in a hard landing.
